iter	Passed	Remaining
0	1	1180
1	2	1031
2	3	1002
3	3	978
4	4	990
5	6	1000
6	6	989
7	7	973
8	8	965
9	9	947
10	10	938
11	11	929
12	12	929
13	13	929
14	14	920
15	14	911
16	15	901
17	16	895
18	17	888
19	18	884
20	18	885
21	19	886
22	20	885
23	21	883
24	22	883
25	23	883
26	24	884
27	25	883
28	26	879
29	27	881
30	28	884
31	29	880
32	29	878
33	30	878
34	31	875
35	32	874
36	33	872
37	34	873
38	35	873
39	36	876
40	37	876
41	38	874
42	39	872
43	40	872
44	41	872
45	42	871
46	42	869
47	43	868
48	44	865
49	45	864
50	46	864
51	47	863
52	48	861
53	49	859
54	50	861
55	51	862
56	52	860
57	53	860
58	53	859
59	54	858
60	55	857
61	56	856
62	57	856
63	58	856
64	59	856
65	60	856
66	61	854
67	62	856
68	63	858
69	64	861
70	65	860
71	66	858
72	67	856
73	68	853
74	68	850
75	69	849
76	70	846
77	71	843
78	73	851
79	74	855
80	75	853
81	76	852
82	76	845
83	77	842
84	77	839
85	78	835
86	79	833
87	80	832
88	81	831
89	81	829
90	82	826
91	83	822
92	84	819
93	84	817
94	85	814
95	86	811
96	87	810
97	87	809
98	88	806
99	89	803
100	90	801
101	90	799
102	91	799
103	92	797
104	93	794
105	93	792
106	94	790
107	95	788
108	96	792
109	98	798
110	99	796
111	100	794
112	100	792
113	101	789
114	102	787
115	103	786
116	103	783
117	104	781
118	105	779
119	106	778
120	107	777
121	107	774
122	108	772
123	109	770
124	109	768
125	110	767
126	111	764
127	112	763
128	113	764
129	114	765
130	115	766
131	116	764
132	117	764
133	118	762
134	118	762
135	119	760
136	120	759
137	121	758
138	122	756
139	122	755
140	123	753
141	124	749
142	124	748
143	126	749
144	127	749
145	128	751
146	129	750
147	130	749
148	130	747
149	131	745
150	132	744
151	133	743
152	134	742
153	134	741
154	135	740
155	136	739
156	137	737
157	138	735
158	138	733
159	139	732
160	140	729
161	140	728
162	141	727
163	142	726
164	143	727
165	144	725
166	145	723
167	145	722
168	146	720
169	147	719
170	148	718
171	149	718
172	150	718
173	151	717
174	151	715
175	152	714
176	153	712
177	153	710
178	154	709
179	155	707
180	156	707
181	157	707
182	158	706
183	159	706
184	160	705
185	161	705
186	161	703
187	162	702
188	163	701
189	164	700
190	165	700
191	166	699
192	166	697
193	167	695
194	168	694
195	168	692
196	169	690
197	170	689
198	170	688
199	171	687
200	172	687
201	173	685
202	174	684
203	175	683
204	175	681
205	176	679
206	177	678
207	177	677
208	178	676
209	180	677
210	181	677
211	181	676
212	182	674
213	183	673
214	184	672
215	184	670
216	185	669
217	186	668
218	187	668
219	188	668
220	189	668
221	190	667
222	191	666
223	191	665
224	192	663
225	193	662
226	194	661
227	194	660
228	195	659
229	196	657
230	197	656
231	197	654
232	198	653
233	199	651
234	199	650
235	200	649
236	201	648
237	202	647
238	203	647
239	204	646
240	204	645
241	205	643
242	206	642
243	206	641
244	207	639
245	208	638
246	209	637
247	209	636
248	210	634
249	211	633
250	211	632
251	212	631
252	213	629
253	213	628
254	214	626
255	215	625
256	215	624
257	216	623
258	217	622
259	218	621
260	219	620
261	219	619
262	220	618
263	221	617
264	222	615
265	222	614
266	223	613
267	224	612
268	224	611
269	225	609
270	226	608
271	227	607
272	227	606
273	228	604
274	229	603
275	229	602
276	230	601
277	231	600
278	231	599
279	232	598
280	233	597
281	234	596
282	234	594
283	235	593
284	236	592
285	236	591
286	237	590
287	238	588
288	238	587
289	239	586
290	240	586
291	241	585
292	242	584
293	242	583
294	243	582
295	244	581
296	245	580
297	246	581
298	248	583
299	250	583
300	250	582
301	251	581
302	252	580
303	253	580
304	254	579
305	255	579
306	256	579
307	257	578
308	258	577
309	258	575
310	259	574
311	260	573
312	260	572
313	261	571
314	262	570
315	263	569
316	264	569
317	265	568
318	265	567
319	266	566
320	267	564
321	267	563
322	268	562
323	269	561
324	269	560
325	270	560
326	271	559
327	272	558
328	273	557
329	273	556
330	274	554
331	275	553
332	275	552
333	276	551
334	277	550
335	278	550
336	279	549
337	279	548
338	280	546
339	281	545
340	281	544
341	282	543
342	283	542
343	283	541
344	284	540
345	285	539
346	286	539
347	287	538
